date,home,away,predicted_margin,actual_margin,predicted_win_prob,model_correct,margin_error,predicted_total,actual_total,total_error,confidence,games_used_home,games_used_away
2024-09-06,PHX,WAS,3.8,-13.0,0.6209,False,16.8,162.1,167.0,4.900000000000006,Medium,34,33
2024-09-06,ATL,DAL,3.72,11.0,0.6186,True,7.279999999999999,165.3,203.0,37.69999999999999,Medium,33,33
2024-09-06,CON,LV,3.12,-5.0,0.5999,False,8.120000000000001,164.2,139.0,25.19999999999999,Low,33,33
2024-09-06,IND,MIN,-5.49,-11.0,0.3289,True,5.51,169.8,187.0,17.19999999999999,Medium,34,34
2024-09-07,CHI,LA,4.4,14.0,0.6391,True,9.6,161.3,170.0,8.699999999999989,Medium,33,33
2024-09-08,SEA,PHX,6.75,24.0,0.7063,True,17.25,162.2,156.0,6.199999999999989,High,34,35
2024-09-08,WAS,MIN,-5.72,-7.0,0.3221,True,1.2800000000000002,164.4,149.0,15.400000000000006,Medium,34,35
2024-09-08,IND,ATL,2.81,4.0,0.5902,True,1.19,165.5,204.0,38.5,Low,35,34
2024-09-08,NY,LV,5.34,4.0,0.6668,True,1.3399999999999999,164.8,146.0,18.80000000000001,Medium,35,34
2024-09-08,CHI,DAL,4.39,15.0,0.6389,True,10.61,170.4,169.0,1.4000000000000057,Medium,34,34
2024-09-09,LA,CON,-7.65,-12.0,0.27,True,4.35,160.2,146.0,14.199999999999989,High,34,34
2024-09-10,ATL,MIN,-5.49,-12.0,0.3288,True,6.51,161.7,140.0,21.69999999999999,Medium,35,36
2024-09-11,DAL,NY,-10.67,-14.0,0.1999,True,3.33,172.1,196.0,23.900000000000006,High,35,36
2024-09-11,LA,CON,-7.91,-20.0,0.2633,True,12.09,157.4,152.0,5.400000000000006,High,35,35
2024-09-11,IND,LV,-3.73,-11.0,0.3811,True,7.27,173.0,161.0,12.0,Medium,36,35
2024-09-12,CHI,WAS,2.65,-31.0,0.5854,False,33.65,159.2,147.0,12.199999999999989,Low,35,35
2024-09-12,LA,SEA,-8.16,-8.0,0.2573,True,0.16000000000000014,161.4,172.0,10.599999999999994,High,36,35
